城市名称,城市编码,线路名称,线路编码,站点名称,站点编码,经度,纬度,POI编码,英文
深圳市,4403,地铁二号线,440300024076,市民中心,440300024074013,114.061192,22.541744,BV10243488,Civic Center
深圳市,4403,地铁二号线,440300024076,岗厦北,440300024076024,114.068982,22.540858,BV10249998,Gangxia North
深圳市,4403,地铁二号线,440300024076,华强北,440300024050028,114.085413,22.544441,BV10243650,Huaqiang North
深圳市,4403,地铁二号线,440300024076,燕南,440300024076026,114.092561,22.544541,BV10249999,Yannan
深圳市,4403,地铁二号线,440300024076,大剧院,440300024063028,114.107811,22.5418,BV10246013,Grand Theater
深圳市,4403,地铁二号线,440300024076,湖贝,440300024076028,114.125437,22.544287,BV10250000,Hubei
深圳市,4403,地铁二号线,440300024076,黄贝岭,440300024058002,114.136332,22.546095,BV10243876,Huangbeiling
深圳市,4403,地铁二号线,440300024076,新秀,440300024076030,114.148765,22.547688,BV10249914,Xinxiu
深圳市,4403,地铁三号线,440300024060,益田,440300024060031,114.050987,22.516287,BV10249967,Yitian
深圳市,4403,地铁三号线,440300024060,石厦,440300024050014,114.053616,22.523708,BV10243850,Shixia
深圳市,4403,地铁三号线,440300024060,购物公园,440300024060029,114.054581,22.534655,BV10248569,Shopping Park
深圳市,4403,地铁三号线,440300024060,福田,440300024056002,114.052879,22.540087,BV10249929,Futian
深圳市,4403,地铁三号线,440300024060,少年宫,440300024060027,114.06017,22.548627,BV10243648,Children's Palace
深圳市,4403,地铁三号线,440300024060,莲花村,440300024060026,114.067829,22.548646,BV10249966,Lianhuacun
深圳市,4403,地铁三号线,440300024060,华新,440300024050019,114.086654,22.548981,BV10249910,Huaxin
深圳市,4403,地铁三号线,440300024060,通新岭,440300024046037,114.096273,22.549126,BV10249965,Tongxinling
深圳市,4403,地铁三号线,440300024060,红岭,440300024054005,114.104584,22.54838,BV10249921,Hongling
深圳市,4403,地铁三号线,440300024060,老街,440300024060022,114.116939,22.544232,BV10249964,Laojie
深圳市,4403,地铁三号线,440300024060,晒布,440300024060021,114.122664,22.549238,BV10249963,Shaibu
深圳市,4403,地铁三号线,440300024060,翠竹,440300024060020,114.129883,22.556188,BV10249962,Cuizhu
深圳市,4403,地铁三号线,440300024060,田贝,440300024050023,114.130052,22.56728,BV10246144,Tianbei
深圳市,4403,地铁三号线,440300024060,水贝,440300024060018,114.124974,22.573988,BV10246345,Shuibei
深圳市,4403,地铁三号线,440300024060,草埔,440300024060017,114.1165,22.584447,BV10243477,Caopu
深圳市,4403,地铁三号线,440300024060,布吉,440300024058007,114.121571,22.601765,BV10249935,Buji
深圳市,4403,地铁三号线,440300024060,木棉湾,440300024060015,114.130293,22.606997,BV10249961,Mumianwan
深圳市,4403,地铁三号线,440300024060,大芬,440300024060014,114.138364,22.614191,BV10249960,Dafen
深圳市,4403,地铁三号线,440300024060,丹竹头,440300024060013,114.148054,22.619752,BV10249959,Danzhutou
深圳市,4403,地铁三号线,440300024060,六约,440300024060012,114.180646,22.634322,BV10249958,Liuyue
深圳市,4403,地铁三号线,440300024060,塘坑,440300024060011,114.192725,22.639179,BV10249957,Tangkeng
深圳市,4403,地铁三号线,440300024060,横岗,440300024060010,114.208994,22.648442,BV10249956,Henggang
深圳市,4403,地铁三号线,440300024060,永湖,440300024060009,114.218042,22.658995,BV10249955,Yonghu
深圳市,4403,地铁三号线,440300024060,荷坳,440300024060008,114.22431,22.673079,BV10249954,He'ao
深圳市,4403,地铁三号线,440300024060,大运,440300024060007,114.228163,22.68572,BV10249953,Universiade
深圳市,4403,地铁三号线,440300024060,爱联,440300024060006,114.234423,22.697495,BV10249952,Ailian
深圳市,4403,地铁三号线,440300024060,吉祥,440300024060005,114.244318,22.709488,BV10249951,Jixiang
深圳市,4403,地铁三号线,440300024060,龙城广场,440300024060004,114.254592,22.716915,BV10243745,Longcheng Square
深圳市,4403,地铁三号线,440300024060,南联,440300024060003,114.265531,22.721967,BV10249950,Nanlian
深圳市,4403,地铁三号线,440300024060,双龙,440300024060002,114.277422,22.728806,BV10249875,Shuanglong
深圳市,4403,地铁四号线,440300024074,福田口岸,440300024074016,114.067321,22.516887,BV10243512,Futian Checkpoint
深圳市,4403,地铁四号线,440300024074,福民,440300024050015,114.065915,22.523226,BV10249907,Fumin
深圳市,4403,地铁四号线,440300024074,会展中心,440300024063024,114.061101,22.534769,BV10243493,Convention & Exhibition Center
深圳市,4403,地铁四号线,440300024074,市民中心,440300024074013,114.061192,22.541744,BV10243488,Civic Center
深圳市,4403,地铁四号线,440300024074,少年宫,440300024060027,114.06017,22.548627,BV10243648,Children's Palace
深圳市,4403,地铁四号线,440300024074,莲花北,440300024074011,114.059402,22.560538,BV10245550,Lianhua North
深圳市,4403,地铁四号线,440300024074,上梅林,440300024054011,114.05944,22.570462,BV10243815,Shangmeilin
深圳市,4403,地铁四号线,440300024074,民乐,440300024074009,114.048809,22.594144,BV10249983,Minle
深圳市,4403,地铁四号线,440300024074,白石龙,440300024074008,114.042431,22.601505,BV10249982,Baishilong
深圳市,4403,地铁四号线,440300024074,深圳北站,440300024046002,114.030298,22.610496,BV10244305,Shenzhen North Station
深圳市,4403,地铁四号线,440300024074,红山,440300024046003,114.023465,22.621886,BV10249884,Hongshan
深圳市,4403,地铁四号线,440300024074,上塘,440300024074005,114.012808,22.637134,BV10249885,Shangtang
深圳市,4403,地铁四号线,440300024074,龙胜,440300024074004,114.01201,22.644739,BV10249981,Longsheng
深圳市,4403,地铁四号线,440300024074,龙华,440300024074003,114.022419,22.651629,BV10249980,Longhua
深圳市,4403,地铁四号线,440300024074,清湖,440300024074002,114.036538,22.664085,BV10249979,Qinghu
深圳市,4403,地铁五号线,440300024058,前海湾,440300024056006,113.897932,22.537121,BV10249931,Qianhaiwan
深圳市,4403,地铁五号线,440300024058,临海,440300024058027,113.889323,22.54416,BV10249949,Linhai
深圳市,4403,地铁五号线,440300024058,宝华,440300024058026,113.88509,22.549635,BV10249948,Baohua
深圳市,4403,地铁五号线,440300024058,宝安中心,440300024058025,113.887233,22.554575,BV10249947,Bao'an Center
深圳市,4403,地铁五号线,440300024058,翻身,440300024058024,113.893232,22.55969,BV10249946,Fanshen
深圳市,4403,地铁五号线,440300024058,灵芝,440300024058023,113.904158,22.568964,BV10249853,Lingzhi
深圳市,4403,地铁五号线,440300024058,洪浪北,440300024058022,113.910585,22.574543,BV10249945,Honglang North
深圳市,4403,地铁五号线,440300024058,兴东,440300024058021,113.919013,22.581822,BV10249944,Xingdong
深圳市,4403,地铁五号线,440300024058,留仙洞,440300024058020,113.943543,22.580534,BV10243933,Liuxiandong
深圳市,4403,地铁五号线,440300024058,西丽,440300024050004,113.954396,22.580677,BV10249901,Xili
深圳市,4403,地铁五号线,440300024058,大学城,440300024058018,113.965307,22.581946,BV10249943,University Town
深圳市,4403,地铁五号线,440300024058,塘朗,440300024058017,113.999666,22.590097,BV10249942,Tanglang
深圳市,4403,地铁五号线,440300024058,长岭陂,440300024058016,114.010275,22.599395,BV10249941,Changlingpi
深圳市,4403,地铁五号线,440300024058,深圳北站,440300024046002,114.030298,22.610496,BV10244305,Shenzhen North Station
深圳市,4403,地铁五号线,440300024058,民治,440300024058014,114.04085,22.617545,BV10249940,Minzhi
深圳市,4403,地铁五号线,440300024058,五和,440300024058013,114.060681,22.626833,BV10249939,Wuhe
深圳市,4403,地铁五号线,440300024058,坂田,440300024058012,114.070852,22.627483,BV10249938,Bantian
深圳市,4403,地铁五号线,440300024058,杨美,440300024058011,114.079975,22.626777,BV10249937,Yangmei
深圳市,4403,地铁五号线,440300024058,上水径,440300024058010,114.105337,22.622046,BV10244202,Shangshuijing
深圳市,4403,地铁五号线,440300024058,下水径,440300024058009,114.110662,22.614833,BV10244199,Xiashuijing
深圳市,4403,地铁五号线,440300024058,长龙,440300024058008,114.113825,22.608053,BV10249936,Changlong
深圳市,4403,地铁五号线,440300024058,布吉,440300024058007,114.121571,22.601765,BV10249935,Buji
深圳市,4403,地铁五号线,440300024058,百鸽笼,440300024058006,114.13038,22.595442,BV10247063,Baigelong
深圳市,4403,地铁五号线,440300024058,布心,440300024058005,114.138045,22.580986,BV10249934,Buxin
深圳市,4403,地铁五号线,440300024058,太安,440300024050024,114.137119,22.573466,BV10249913,Tai'an
深圳市,4403,地铁五号线,440300024058,怡景,440300024058003,114.140115,22.555856,BV10249933,Yijing
深圳市,4403,地铁五号线,440300024058,黄贝岭,440300024058002,114.136332,22.546095,BV10243876,Huangbeiling
